upload_ID,upload_RA,upload_Dec,distance,ra,dec,jAperMag3,jAperMag3Err,hAperMag3,hAperMag3Err,ksAperMag3,ksAperMag3Err,RA,Dec,PmrA,PMDEC,sigPMRA,sigPMDEC,w1mpro_pm,w1sigmpro_pm,w2mpro_pm,w2sigmpro_pm
2930,158.33646509999997,25.9882775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.33646509999997,25.9882775,0.0,0.0,0.0608,0.0565,17.584,,17.074,
2931,159.9180703,-84.24629370000002,0.2701153,159.91742209999995,-84.2463312,16.41793,0.012559,-999999500.0,-999999500.0,15.316663,0.0259,159.9176496,-84.24629370000001,-0.15185,0.06969,0.0105,0.0096,15.031,0.017,14.892,0.019
2932,157.9886856,19.5280185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.98860980000003,19.528018499999998,-0.25725,-0.17362,0.0687,0.1038,16.256,0.377,15.851,
2933,158.39045149999995,19.4602179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.39040380000003,19.460217899999996,-0.16205,-0.02224,0.0333,0.0368,16.961,0.051,15.027,0.03
2934,158.0160378,-23.520254,0.0991499,158.0160631,-23.5202688,16.766376,0.013094,-999999500.0,-999999500.0,15.227813,0.016315,158.0159868,-23.520254,-0.1682,0.0691,0.0097,0.0114,14.775,0.016,14.565,0.02
2935,157.9157046,-24.7925379,1.1993098,157.915401,-24.7923508,18.51723,0.060536,-999999500.0,-999999500.0,-999999500.0,-999999500.0,157.915563,-24.7925379,-0.46269,-0.13185999999999998,0.0986,0.1109,19.44,0.476,16.199,0.077
2936,158.2470597,-35.72848300000001,0.5675698,158.2471737,-35.7286106,17.189585,0.019433,-999999500.0,-999999500.0,16.43705,0.059639,158.24701399999995,-35.728483000000004,-0.13355999999999998,0.2232,0.0302,0.0346,16.22,0.027000000000000003,15.916,0.058
2937,160.0190017,63.2371326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0189673,63.2371326,-0.05582,-0.06118,0.0072,0.0084,14.3,0.014,14.116,0.014
2938,158.89393940000005,-7.1968027,1.2060573,158.894269,-7.1967299,16.288237,0.010306,15.616608,0.011317,15.059434,0.016572,158.89382719999998,-7.1968027,-0.40068,-0.02828,0.0105,0.0133,14.388,0.031,14.133,0.036000000000000004
2939,159.13565780000005,-15.9199834,0.3914314,159.1357676,-15.9200095,16.698421,0.016427,16.043589,0.017085,15.568970000000002,0.025067,159.1356161,-15.9199834,-0.14445999999999998,0.05541,0.016,0.0183,15.317,0.019,15.099,0.033
2940,158.7214632,16.207778400000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.72140990000003,16.207778400000002,-0.18431,-0.15729,0.0353,0.0385,17.702,0.098,14.882,0.028
2941,158.6473675,-26.5334904,0.0800698,158.6473923,-26.5334919,17.6147,0.052772,-999999500.0,-999999500.0,16.324963,0.061884,158.6473234,-26.533490399999998,-0.14218,-0.15599000000000002,0.0191,0.0214,15.576,0.022,15.113,0.032
2942,159.40665780000003,-27.0931637,0.0890654,159.4066378,-27.093146500000003,17.934711,0.07322100000000001,-999999500.0,-999999500.0,16.325062,0.06154,159.4065881,-27.093163699999998,-0.22326,0.05437,0.0191,0.0234,15.533,0.022,15.167,0.033
